country,country1,country2,country_others,director,director_cn1,director_cn2,director_en1,director_en2,info,movie_name,ranking,score,score_num,year
美国,美国,,,米洛斯·福尔曼 Miloš Forman,米洛斯·福尔曼,,Miloš Forman,,"导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...
                            1975 / 美国 / 剧情",飞越疯人院,54,9.1,396242,1975
新西兰 美国,新西兰,美国,,彼得·杰克逊 Peter Jackson,彼得·杰克逊,,Peter Jackson,,"导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险",指环王1：魔戒再现,55,9.0,487497,2001
美国 英国 德国,美国,英国,德国,詹姆斯·麦克特格 James McTeigue,詹姆斯·麦克特格,,James McTeigue,,"导演: 詹姆斯·麦克特格 James McTeigue   主演: 娜塔莉·波特曼 Natalie Por...
                            2005 / 美国 英国 德国 / 剧情 动作 科幻 惊悚",V字仇杀队,56,8.9,685429,2005
美国,美国,,,朗·霍华德 Ron Howard,朗·霍华德,,Ron Howard,,"导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 艾德·哈...
                            2001 / 美国 / 传记 剧情",美丽心灵,57,9.0,478990,2001
中国台湾 美国,中国台湾,美国,,李安 Ang Lee,李安,,Ang Lee,,"导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...
                            1994 / 中国台湾 美国 / 剧情 家庭",饮食男女,58,9.1,346692,1994
美国 英国,美国,英国,,Chris Columbus,,,Chris Columbus,,"导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint
                            2001 / 美国 英国 / 奇幻 冒险",哈利·波特与魔法石,59,8.9,530221,2001
中国大陆,中国大陆,,,"万籁鸣 Laiming Wan , 唐澄 Cheng  Tang",万籁鸣,唐澄,Laiming Wan,Cheng  Tang,"导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang   主演: 邱岳峰 Yuefeng Qiu /...
                            1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 2004(中国大陆) / 中国大陆 / 动画 奇幻",大闹天宫,60,9.3,219340,1961
法国 德国 英国 波兰,法国,德国,"英国,波兰",罗曼·波兰斯基 Roman Polanski,罗曼·波兰斯基,,Roman Polanski,,"导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...
                            2002 / 法国 德国 英国 波兰 / 剧情 传记 历史 战争 音乐",钢琴家,61,9.1,319407,2002
美国,美国,,,大卫·芬奇 David Fincher,大卫·芬奇,,David Fincher,,"导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...
                            2008 / 美国 / 剧情 爱情 奇幻",本杰明·巴顿奇事,62,8.9,627118,2008
美国,美国,,,路易·西霍尤斯 Louie Psihoyos,路易·西霍尤斯,,Louie Psihoyos,,"导演: 路易·西霍尤斯 Louie Psihoyos   主演: Richard O'Barry / 路易·西霍...
                            2009 / 美国 / 纪录片",海豚湾,63,9.3,261482,2009
美国 澳大利亚,美国,澳大利亚,,"安迪·沃卓斯基 Andy Wachowski , 拉娜·沃卓斯基 Lana Wachowski",安迪·沃卓斯基,拉娜·沃卓斯基,Andy Wachowski,Lana Wachowski,"导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...
                            1999 / 美国 澳大利亚 / 动作 科幻",黑客帝国,64,9.0,479457,1999
日本,日本,,,岩井俊二 Shunji Iwai,岩井俊二,,Shunji Iwai,,"导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...
                            1995 / 日本 / 剧情 爱情",情书,65,8.9,583899,1995
西班牙,西班牙,,,奥里奥尔·保罗 Oriol Paulo,奥里奥尔·保罗,,Oriol Paulo,,"导演: 奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Casas / 阿...
                            2016 / 西班牙 / 剧情 犯罪 悬疑 惊悚",看不见的客人,66,8.8,707725,2016
