movie_name,ranking,director,score,score_num,tag,year,country,actor
蝙蝠侠：黑暗骑士崛起,147,克里斯托弗·诺兰 Christopher Nolan,8.6,340876,剧情 动作 科幻 犯罪 惊悚,2012,美 国   英 国, 克里斯蒂安·贝尔 Christ...
荒蛮故事,148,达米安·斯兹弗隆 Damián Szifron,8.8,175163,剧情 喜剧 犯罪,2014,阿 根 廷   西 班 牙, 达里奥·葛兰帝内提 Darío...
傲慢与偏见,149,乔·怀特 Joe Wright,8.5,353789,剧情 爱情,2005,法 国   英 国   美 国, 凯拉·奈特莉 Keira Knightley / 马修·...
海边的曼彻斯特,150,肯尼斯·罗纳根 Kenneth Lonergan,8.6,240522,剧情 家庭,2016,美 国, 卡西·阿弗莱克 Casey Affle...
虎口脱险,151,杰拉尔·乌里 Gérard Oury,8.9,120690,喜剧 战争,1966,法 国   英 国, 路易·德·菲耐斯 Louis de Funès...
纵横四海,152,吴宇森 John Woo,8.7,178083,剧情 喜剧 动作 犯罪,1991,香 港, 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...
燃情岁月,153,爱德华·兹威克 Edward Zwick,8.7,164036,剧情 爱情 西部 家庭,1994,美 国, 安东尼·霍普金斯 Anthony Hopki...
教父3,154,弗朗西斯·福特·科波拉 Francis Ford Coppola,8.8,154566,剧情 犯罪,1990,美 国, 阿尔·帕西诺 A...
时空恋旅人,155,理查德·柯蒂斯 Richard Curtis,8.6,242353,剧情 爱情 奇幻,2013,英 国, 多姆纳尔·格利森 Domhnall Gl...
玩具总动员3,156,李·昂克里奇 Lee Unkrich,8.8,221550,喜剧 动画 奇幻 冒险,2010,美 国, 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...
花样年华,157,王家卫 Kar Wai Wong,8.5,283783,剧情 爱情,2000,香 港, 梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...
完美的世界,158,克林特·伊斯特伍德 Clint Eastwood,9,96631,剧情 犯罪,1993,美 国, 凯文·科斯特纳 Kevin Cos...
恋恋笔记本,159,尼克·卡索维茨 Nick Cassavetes,8.5,327721,剧情 爱情,2004,美 国, 瑞恩·高斯林 Ryan Gosling /...
无人知晓,160,是枝裕和 Hirokazu Koreeda,9.1,90016,剧情,2004,日 本, 柳乐优弥 Y?ya Yagira / 北浦爱...
达拉斯买家俱乐部,161,让-马克·瓦雷 Jean-Marc Vallée,8.7,217907,剧情 传记 同性,2013,美 国, 马修·麦康纳 Matthew McCon...
二十二,162,郭柯 Ke Guo,8.7,128413,纪录片,2015,中 国 大 陆,
雨中曲,163,Stanley Donen / Gene Kelly,9,105254,喜剧 歌舞 爱情,1952,美 国, Gene Kelly / Donald O'Connor / ...
魂断蓝桥,164,Mervyn LeRoy,8.8,144975,剧情 战争 爱情,1940,美 国, Vivien Leigh / Robert Taylor / Lucile Watson
猜火车,165,丹尼·博伊尔 Danny Boyle,8.5,275359,犯罪 剧情,1996,英 国, 伊万·麦克格雷格 Ewan McGregor / ...
血战钢锯岭,166,梅尔·吉布森 Mel Gibson,8.7,379862,剧情 传记 历史 战争,2016,美 国   澳 大 利 亚, 安德鲁·加菲尔德 Andrew Garfield /...
穿越时空的少女,167,细田守 Mamoru Hosoda,8.6,209064,剧情 爱情 科幻 动画,2006,日 本, 仲里依纱 Riisa Naka / 石田卓也 Takuya...
我是山姆,168,杰茜·尼尔森 Jessie Nelson,8.8,122671,剧情 家庭,2001,美 国, Sean Penn / Dakota Fanning / Mi...
冰川时代,169,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,8.5,314939,喜剧 动画 冒险,2002,美 国,
人工智能,170,史蒂文·斯皮尔伯格 Steven Spielberg,8.6,218424,冒险 剧情 科幻,2001,美 国, 海利·乔·奥斯蒙 Haley...
